Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.07500000000000001,ind_val,brightness,0.07500000000000001,0.4152644230769231,0.5961538461538461,0.5057091346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.1,ind_val,brightness,0.1,0.42007211538461536,0.5961538461538461,0.5081129807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.125,ind_val,brightness,0.125,0.42788461538461536,0.5961538461538461,0.5120192307692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.15000000000000002,ind_val,brightness,0.15000000000000002,0.4405048076923077,0.5961538461538461,0.5183293269230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.17500000000000002,ind_val,brightness,0.17500000000000002,0.4453125,0.5961538461538461,0.5207331730769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.2,ind_val,brightness,0.2,0.4495192307692308,0.5961538461538461,0.5228365384615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.225,ind_val,brightness,0.225,0.45252403846153844,0.5961538461538461,0.5243389423076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.25,ind_val,brightness,0.25,0.4621394230769231,0.5961538461538461,0.5291466346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.275,ind_val,brightness,0.275,0.4645432692307692,0.5961538461538461,0.5303485576923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.30000000000000004,ind_val,brightness,0.30000000000000004,0.4729567307692308,0.5961538461538461,0.5345552884615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.325,ind_val,brightness,0.325,0.47716346153846156,0.5961538461538461,0.5366586538461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.35000000000000003,ind_val,brightness,0.35000000000000003,0.46935096153846156,0.5961538461538461,0.5327524038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.375,ind_val,brightness,0.375,0.45132211538461536,0.5961538461538461,0.5237379807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.4,ind_val,brightness,0.4,0.4411057692307692,0.5961538461538461,0.5186298076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.42500000000000004,ind_val,brightness,0.42500000000000004,0.4188701923076923,0.5961538461538461,0.5075120192307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.45,ind_val,brightness,0.45,0.40384615384615385,0.5961538461538461,0.5
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.47500000000000003,ind_val,brightness,0.47500000000000003,0.390625,0.5961538461538461,0.4933894230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.5,ind_val,brightness,0.5,0.37680288461538464,0.5961538461538461,0.4864783653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.025,ind_val,hue,0.025,0.40024038461538464,0.5961538461538461,0.4981971153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.05,ind_val,hue,0.05,0.4020432692307692,0.5961538461538461,0.4990985576923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.07500000000000001,ind_val,hue,0.07500000000000001,0.4026442307692308,0.5961538461538461,0.49939903846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.1,ind_val,hue,0.1,0.4014423076923077,0.5961538461538461,0.4987980769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.125,ind_val,hue,0.125,0.4074519230769231,0.5961538461538461,0.5018028846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.15000000000000002,ind_val,hue,0.15000000000000002,0.4098557692307692,0.5961538461538461,0.5030048076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.17500000000000002,ind_val,hue,0.17500000000000002,0.40805288461538464,0.5961538461538461,0.5021033653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.2,ind_val,hue,0.2,0.40865384615384615,0.5961538461538461,0.5024038461538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.225,ind_val,hue,0.225,0.4098557692307692,0.5961538461538461,0.5030048076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.25,ind_val,hue,0.25,0.4098557692307692,0.5961538461538461,0.5030048076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.275,ind_val,hue,0.275,0.4074519230769231,0.5961538461538461,0.5018028846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.30000000000000004,ind_val,hue,0.30000000000000004,0.41225961538461536,0.5961538461538461,0.5042067307692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,hue_0.325,ind_val,hue,0.325,0.4098557692307692,0.5961538461538461,0.5030048076923077
