Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.275,ind_val,saltpepper,0.275,0.8413461538461539,0.8479567307692308,0.8446514423076923
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.30000000000000004,ind_val,saltpepper,0.30000000000000004,0.8233173076923077,0.8479567307692308,0.8356370192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.325,ind_val,saltpepper,0.325,0.8076923076923077,0.8479567307692308,0.8278245192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.35000000000000003,ind_val,saltpepper,0.35000000000000003,0.7998798076923077,0.8479567307692308,0.8239182692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.375,ind_val,saltpepper,0.375,0.8155048076923077,0.8479567307692308,0.8317307692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.4,ind_val,saltpepper,0.4,0.8263221153846154,0.8479567307692308,0.8371394230769231
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.42500000000000004,ind_val,saltpepper,0.42500000000000004,0.8347355769230769,0.8479567307692308,0.8413461538461539
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.45,ind_val,saltpepper,0.45,0.8701923076923077,0.8479567307692308,0.8590745192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.47500000000000003,ind_val,saltpepper,0.47500000000000003,0.8768028846153846,0.8479567307692308,0.8623798076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.5,ind_val,saltpepper,0.5,0.8647836538461539,0.8479567307692308,0.8563701923076923
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.025,ind_val,jpeg,0.025,0.13161057692307693,0.8479567307692308,0.48978365384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.05,ind_val,jpeg,0.05,0.13161057692307693,0.8479567307692308,0.48978365384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.07500000000000001,ind_val,jpeg,0.07500000000000001,0.12980769230769232,0.8479567307692308,0.48888221153846156
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.1,ind_val,jpeg,0.1,0.13341346153846154,0.8479567307692308,0.4906850961538462
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.125,ind_val,jpeg,0.125,0.13341346153846154,0.8479567307692308,0.4906850961538462
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.15000000000000002,ind_val,jpeg,0.15000000000000002,0.13341346153846154,0.8479567307692308,0.4906850961538462
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.17500000000000002,ind_val,jpeg,0.17500000000000002,0.1328125,0.8479567307692308,0.4903846153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.2,ind_val,jpeg,0.2,0.1346153846153846,0.8479567307692308,0.4912860576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.225,ind_val,jpeg,0.225,0.1328125,0.8479567307692308,0.4903846153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.25,ind_val,jpeg,0.25,0.1328125,0.8479567307692308,0.4903846153846154
