Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
CCT,GradNorm,ind_span,False,False,OoD Val,hue,0.36,0.99,0.675
CCT,GradNorm,ind_span,False,False,OoD Val,multnoise,1.0,0.99,0.995
CCT,GradNorm,ind_span,False,False,OoD Val,noise,0.21,0.99,0.6
CCT,GradNorm,ind_span,False,False,OoD Val,saltpepper,1.0,0.99,0.995
CCT,GradNorm,ind_span,False,False,OoD Val,smear,0.0,0.99,0.495
CCT,GradNorm,logistic,False,False,OoD Test,OoD Test,0.73,0.74,0.735
CCT,GradNorm,logistic,False,False,OoD Test,OoD Val,0.78,0.74,0.76
CCT,GradNorm,logistic,False,False,OoD Test,brightness,0.32,0.74,0.53
CCT,GradNorm,logistic,False,False,OoD Test,contrast,0.3,0.74,0.52
CCT,GradNorm,logistic,False,False,OoD Test,hue,0.0,0.74,0.37
CCT,GradNorm,logistic,False,False,OoD Test,multnoise,1.0,0.74,0.87
CCT,GradNorm,logistic,False,False,OoD Test,noise,0.8,0.74,0.77
