Dataset,Model,feature_name,fold,shift_type,category,observed_gap,predicted_gap,MAE,Method
CCT,vit,kNN,saltpepper_0.025,saltpepper,Synthetic,-0.6760817307692306,-0.6310329818019049,0.04504874896732569,Ours
CCT,vit,kNN,saltpepper_0.05,saltpepper,Synthetic,-0.6874999999999999,-0.6315769593937302,0.055923040606269736,Ours
CCT,vit,kNN,saltpepper_0.07500000000000001,saltpepper,Synthetic,-0.6893028846153846,-0.6323385280222857,0.05696435659309884,Ours
CCT,vit,kNN,saltpepper_0.1,saltpepper,Synthetic,-0.6953125,-0.6329913011324759,0.062321198867524075,Ours
CCT,vit,kNN,saltpepper_0.125,saltpepper,Synthetic,-0.7085336538461537,-0.6340792563161266,0.07445439753002714,Ours
CCT,vit,kNN,saltpepper_0.15000000000000002,saltpepper,Synthetic,-0.7109375,-0.6351672114997771,0.07577028850022294,Ours
CCT,vit,kNN,saltpepper_0.17500000000000002,saltpepper,Synthetic,-0.7139423076923076,-0.6354935980548722,0.07844870963743544,Ours
CCT,vit,kNN,saltpepper_0.2,saltpepper,Synthetic,-0.71875,-0.6359287801283324,0.08282121987166757,Ours
CCT,vit,kNN,saltpepper_0.225,saltpepper,Synthetic,-0.7193509615384615,-0.6371255308303478,0.08222543070811361,Ours
CCT,vit,kNN,saltpepper_0.25,saltpepper,Synthetic,-0.7235576923076922,-0.6366903487568876,0.08686734355080461,Ours
CCT,vit,kNN,saltpepper_0.275,saltpepper,Synthetic,-0.7295673076923076,-0.6374519173854432,0.09211539030686444,Ours
CCT,vit,kNN,saltpepper_0.30000000000000004,saltpepper,Synthetic,-0.7295673076923076,-0.6374519173854432,0.09211539030686444,Ours
CCT,vit,kNN,saltpepper_0.325,saltpepper,Synthetic,-0.7325721153846153,-0.6374519173854432,0.09512019799917215,Ours
CCT,vit,kNN,saltpepper_0.35000000000000003,saltpepper,Synthetic,-0.7313701923076922,-0.6386486680874586,0.09272152422023361,Ours
CCT,vit,kNN,saltpepper_0.375,saltpepper,Synthetic,-0.7313701923076922,-0.6385398725690936,0.09283031973859857,Ours
CCT,vit,kNN,saltpepper_0.4,saltpepper,Synthetic,-0.7319711538461537,-0.6387574636058237,0.09321369024033,Ours
CCT,vit,kNN,saltpepper_0.42500000000000004,saltpepper,Synthetic,-0.736778846153846,-0.6387574636058237,0.09802138254802228,Ours
CCT,vit,kNN,saltpepper_0.45,saltpepper,Synthetic,-0.7397836538461537,-0.6387574636058237,0.10102619024033,Ours
CCT,vit,kNN,saltpepper_0.47500000000000003,saltpepper,Synthetic,-0.7421875,-0.6387574636058237,0.10343003639417625,Ours
CCT,vit,kNN,saltpepper_0.5,saltpepper,Synthetic,-0.7463942307692307,-0.6385398725690936,0.10785435820013711,Ours
CCT,vit,kNN,smear_0.025,smear,Synthetic,0.025240384615384803,0.050340465385765705,0.025100080770380902,Ours
CCT,vit,kNN,smear_0.05,smear,Synthetic,0.027043269230769162,0.04873411145555565,0.02169084222478649,Ours
CCT,vit,kNN,smear_0.07500000000000001,smear,Synthetic,0.02644230769230782,0.04609510142735349,0.019652793735045672,Ours
CCT,vit,kNN,smear_0.1,smear,Synthetic,0.0234375,0.04460348706358707,0.02116598706358707,Ours
CCT,vit,kNN,smear_0.125,smear,Synthetic,0.021033653846153966,0.04288239356693344,0.021848739720779477,Ours
CCT,vit,kNN,smear_0.15000000000000002,smear,Synthetic,0.02163461538461564,0.033473749118560506,0.011839133733944865,Ours
CCT,vit,kNN,smear_0.17500000000000002,smear,Synthetic,0.0204326923076924,0.02326192770508255,0.002829235397390148,Ours
CCT,vit,kNN,smear_0.2,smear,Synthetic,0.015625,0.012017450193612417,0.0036075498063875833,Ours
CCT,vit,kNN,smear_0.225,smear,Synthetic,0.015024038461538547,0.0028382848781265957,0.012185753583411951,Ours
CCT,vit,kNN,smear_0.25,smear,Synthetic,0.0018028846153848033,-0.025731867166323003,0.027534751781707806,Ours
CCT,vit,kNN,smear_0.275,smear,Synthetic,0.0006009615384615641,-0.03640264684557527,0.03700360838403684,Ours
CCT,vit,kNN,smear_0.30000000000000004,smear,Synthetic,-0.0042067307692308376,-0.05200722788190118,0.04780049711267034,Ours
CCT,vit,kNN,smear_0.325,smear,Synthetic,-0.015625,-0.08264269212233508,0.06701769212233508,Ours
CCT,vit,kNN,smear_0.35000000000000003,smear,Synthetic,-0.03185096153846145,-0.1001978457882017,0.06834688424974025,Ours
CCT,vit,kNN,smear_0.375,smear,Synthetic,-0.02824519230769218,-0.11511398942586612,0.08686879711817394,Ours
CCT,vit,kNN,smear_0.4,smear,Synthetic,-0.05288461538461542,-0.1526338276529144,0.09974921226829897,Ours
CCT,vit,kNN,smear_0.42500000000000004,smear,Synthetic,-0.06790865384615374,-0.15137169242203508,0.08346303857588133,Ours
CCT,vit,kNN,smear_0.45,smear,Synthetic,-0.08173076923076916,-0.1799418444664847,0.09821107523571554,Ours
CCT,vit,kNN,smear_0.47500000000000003,smear,Synthetic,-0.09555288461538458,-0.191415801110842,0.09586291649545742,Ours
CCT,vit,kNN,smear_0.5,smear,Synthetic,-0.10697115384615374,-0.2044961116854092,0.09752495783925547,Ours
CCT,vit,kNN,OoD Test,Organic,Organic,-0.640687775090844,-0.6483676321585516,0.007679857067707685,Ours
CCT,vit,kNN,OoD Val,Organic,Organic,-0.6275473891959669,-0.646903637667336,0.019356248471369186,Ours
NICO,vit,Energy,brightness_0.025,brightness,Synthetic,0.012820512820512775,0.010327280457479271,0.002493232363033504,Ours
NICO,vit,Energy,brightness_0.05,brightness,Synthetic,0.004006410256410242,-0.02981270334616254,0.03381911360257278,Ours
NICO,vit,Energy,brightness_0.07500000000000001,brightness,Synthetic,-0.01602564102564108,-0.0778357087997294,0.06181006777408832,Ours
NICO,vit,Energy,brightness_0.1,brightness,Synthetic,-0.0625,-0.11779447371486712,0.05529447371486712,Ours
NICO,vit,Energy,brightness_0.125,brightness,Synthetic,-0.09375,-0.15213545308638005,0.058385453086380046,Ours
NICO,vit,Energy,brightness_0.15000000000000002,brightness,Synthetic,-0.10576923076923073,-0.15675653474323276,0.05098730397400203,Ours
NICO,vit,Energy,brightness_0.17500000000000002,brightness,Synthetic,-0.1546474358974359,-0.18085864691426817,0.02621121101683227,Ours
NICO,vit,Energy,brightness_0.2,brightness,Synthetic,-0.17307692307692313,-0.17288501582009108,0.0001919072568320468,Ours
NICO,vit,Energy,brightness_0.225,brightness,Synthetic,-0.18669871794871795,-0.19617164299285839,0.009472925044140434,Ours
NICO,vit,Energy,brightness_0.25,brightness,Synthetic,-0.21314102564102566,-0.21519962628578115,0.0020586006447554928,Ours
NICO,vit,Energy,brightness_0.275,brightness,Synthetic,-0.24198717948717952,-0.21184707684845672,0.0301401026387228,Ours
NICO,vit,Energy,brightness_0.30000000000000004,brightness,Synthetic,-0.23397435897435903,-0.20767904241286406,0.026295316561494975,Ours
NICO,vit,Energy,brightness_0.325,brightness,Synthetic,-0.25,-0.2267070257057867,0.023292974294213287,Ours
NICO,vit,Energy,brightness_0.35000000000000003,brightness,Synthetic,-0.28044871794871795,-0.22716007292704687,0.05328864502167108,Ours
NICO,vit,Energy,brightness_0.375,brightness,Synthetic,-0.2548076923076923,-0.228609824035079,0.02619786827261328,Ours
NICO,vit,Energy,brightness_0.4,brightness,Synthetic,-0.2628205128205129,-0.23033140347586734,0.03248910934464555,Ours
NICO,vit,Energy,brightness_0.42500000000000004,brightness,Synthetic,-0.27403846153846156,-0.2528931550946185,0.021145306443843048,Ours
NICO,vit,Energy,brightness_0.45,brightness,Synthetic,-0.2516025641025641,-0.23730833068327228,0.014294233419291813,Ours
NICO,vit,Energy,brightness_0.47500000000000003,brightness,Synthetic,-0.29166666666666663,-0.2473659789952457,0.044300687671420924,Ours
NICO,vit,Energy,brightness_0.5,brightness,Synthetic,-0.31009615384615385,-0.26376628840486005,0.046329865441293805,Ours
NICO,vit,Energy,contrast_0.025,contrast,Synthetic,-0.010016025641025661,-0.004242039607535386,0.005773986033490275,Ours
NICO,vit,Energy,contrast_0.05,contrast,Synthetic,-0.029246794871794934,-0.03451200182207309,0.005265206950278156,Ours
NICO,vit,Energy,contrast_0.07500000000000001,contrast,Synthetic,-0.049278846153846145,-0.07526526429381952,0.025986418139973377,Ours
NICO,vit,Energy,contrast_0.1,contrast,Synthetic,-0.07371794871794868,-0.11996678270659256,0.04624883398864388,Ours
NICO,vit,Energy,contrast_0.125,contrast,Synthetic,-0.11418269230769229,-0.1470599872674307,0.0328772949597384,Ours
NICO,vit,Energy,contrast_0.15000000000000002,contrast,Synthetic,-0.13822115384615385,-0.1727009597580061,0.034479805911852235,Ours
NICO,vit,Energy,contrast_0.17500000000000002,contrast,Synthetic,-0.1594551282051283,-0.18899318829626555,0.02953806009113724,Ours
NICO,vit,Energy,contrast_0.2,contrast,Synthetic,-0.18229166666666663,-0.20678303115698332,0.02449136449031669,Ours
NICO,vit,Energy,contrast_0.225,contrast,Synthetic,-0.21674679487179493,-0.22793116068018365,0.011184365808388719,Ours
NICO,vit,Energy,contrast_0.25,contrast,Synthetic,-0.21474358974358976,-0.21890009249323755,0.004156502749647795,Ours
NICO,vit,Energy,contrast_0.275,contrast,Synthetic,-0.23157051282051289,-0.22770424941920514,0.0038662634013077457,Ours
NICO,vit,Energy,contrast_0.30000000000000004,contrast,Synthetic,-0.2580128205128205,-0.23668993535395538,0.0213228851588651,Ours
NICO,vit,Energy,contrast_0.325,contrast,Synthetic,-0.28044871794871795,-0.24004822201643788,0.04040049593228007,Ours
NICO,vit,Energy,contrast_0.35000000000000003,contrast,Synthetic,-0.2872596153846153,-0.22402828699135274,0.06323132839326256,Ours
NICO,vit,Energy,contrast_0.375,contrast,Synthetic,-0.27283653846153844,-0.25334522190978054,0.019491316551757898,Ours
NICO,vit,Energy,contrast_0.4,contrast,Synthetic,-0.26482371794871795,-0.2658253412636004,0.0010016233148824605,Ours
NICO,vit,Energy,contrast_0.42500000000000004,contrast,Synthetic,-0.2764423076923077,-0.24885237894240536,0.027589928749902348,Ours
