Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0729166666666666,-0.0543728900540017,0.018543776612664903,0.018543776612664903
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0787037037037036,-0.0543728900540017,0.024330813649701896,0.024330813649701896
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0856481481481481,-0.0543728900540017,0.0312752580941464,0.0312752580941464
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0972222222222222,-0.0543728900540017,0.0428493321682205,0.0428493321682205
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1030092592592592,-0.0543728900540017,0.048636369205257504,0.048636369205257504
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1087962962962962,-0.0543728900540017,0.0544234062422945,0.0544234062422945
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1180555555555555,-0.0543728900540017,0.0636826655015538,0.0636826655015538
OfficeHome,Ours,resnet,Softmax,Contrast,-0.130787037037037,-0.0543728900540017,0.07641414698303531,0.07641414698303531
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1284722222222222,-0.0543728900540017,0.07409933216822051,0.07409933216822051
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1134259259259259,-0.0543728900540017,0.0590530358719242,0.0590530358719242
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1122685185185185,-0.0543728900540017,0.057895628464516805,0.057895628464516805
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1076388888888888,-0.0543728900540017,0.0532659988348871,0.0532659988348871
OfficeHome,Ours,resnet,Softmax,Contrast,-0.105324074074074,-0.0543728900540017,0.0509511840200723,0.0509511840200723
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1030092592592592,-0.0543728900540017,0.048636369205257504,0.048636369205257504
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1006944444444444,-0.0543728900540017,0.04632155439044271,0.04632155439044271
